"","cluster_id","depth_m","seaTemp","seaSal","seaPH","seaTCO2","seaTA","seaDO","seaChl","seaSi","seaNH4","seaNO3","seaNO2","seaPO3","distanceSho","ta_hucMean","ta_hucMax","ta_hucMin","numberRiv_15km","composite_fw_expose","composite_fw_exp_mo","flowYear_cfs","flowYear_m3s","month","distanceRiv","soilpH_hucMean","soilpH_hucMax","lat","lon","latInteger","year","day","upwell","upwellN","depth_bin","date_only","dataset_id"
"1","C1",9.53333333333333,10.7893333333333,32.73,NA,1922.3,2215.4,368.566666666667,NA,1.82666666666667,NA,0.796666666666667,0.0133333333333333,0.106666666666667,9.08875766900225,2172.66666666667,3480,0,14,4.22835455604731,3.3455930319219,1044.872,29.5874314496,5,7564.43184586159,59.3041790989099,76,44.65,-124.16,45,2007,21,0.547,4.634,0,2007-05-21,24
"2","C10",45,7.375,34.04,NA,2229.6,2273,107,NA,48.13,NA,30.68,0.22,2.35,5.29861069040437,1311.11111111111,1920,800,12,8.07188845750754,4.00280024692985,0.477,0.0135071136,5,2706.35358744255,54.3408066712054,73,40.26,-124.39,40,2007,26,1.304,26.537,3,2007-05-26,24
"3","C100",0,14.72,33.73,NA,2295.42,2262.78,NA,NA,NA,NA,NA,NA,NA,0.315969904907245,1971.75757575758,6400,60,19,1.26138750294226,0.0608215264039346,0.273,0.0077304864,8,1348.23484232652,61.4284765489768,84,38.217,-122.963,38,2009,27,-0.293,-1.691,0,2009-08-27,38
"4","C1000",2,13.2,33.77,7.9882234,NA,2303.92,279.4071322,NA,NA,NA,NA,NA,NA,0.159188082376575,1971.75757575758,6400,60,29,1.03603698573736,0.0751026380300907,0.218,0.0061730624,10,872.439695961189,61.4284765489768,84,38.16,-122.91,38,2013,18,0.025,0.29,0,2013-10-18,38
"5","C1001",2,14.5,33.97,7.956688329,NA,2323.95,NA,NA,NA,NA,NA,NA,NA,0.622400413411528,1971.75757575758,6400,60,29,1.07166526634127,0.0782192104975146,0.939,0.0265894752,10,528.861526618697,61.4284765489768,84,38.16,-122.9,38,2013,18,0.025,0.29,0,2013-10-18,38
"6","C1002",0,12,33.65,8.094469501,NA,2225.98,276.1424004,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,0.0579342862192907,0,0,10,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2013,18,0.025,0.29,0,2013-10-18,28
"7","C1003",0,11.9,33.35,7.938625733,NA,2234.67,272.3386885,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,0.0579342862192907,0,0,10,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2013,23,-0.59,-8.461,0,2013-10-23,28
"8","C1004",0,11.7,33.45,7.870855748,NA,2235.58,279.7473892,NA,NA,NA,NA,NA,NA,1.61783531175596,2468.21052631579,5600,1110,12,0.760439924283217,0.247415182278412,0,0,11,2717.25764180006,55.6792147676667,74,38.3163,-123.072,38,2013,1,0.066,0.806,0,2013-11-01,28
"9","C1005",1,16.12,33.1,7.963,NA,2234.2,NA,NA,NA,NA,NA,NA,NA,0,4480.42391304348,39800,543,5,1.03172657129884,0.0807735740999127,107.538,3.0451320384,11,3054.53271377343,69.8626089002545,80,34.7188,-120.6088,35,2013,3,1.053,2.355,0,2013-11-03,36
"10","C1006",1,16.13,33.1,7.793,NA,2156.5,NA,NA,NA,NA,NA,NA,NA,0,4480.42391304348,39800,543,5,1.03172657129884,0.0807735740999127,107.538,3.0451320384,11,3054.53271377343,69.8626089002545,80,34.7188,-120.6088,35,2013,4,2.235,6.308,0,2013-11-04,36
"11","C1007",10.8,16.43,33.2,8.0445,NA,2239.35,NA,NA,NA,NA,NA,NA,NA,0.879233333028032,5059.69863731656,36800,471,12,0.158766301961745,0.0558797680543472,2.856,0.0808727808,11,1554.08564233631,67.1936659179238,79,34.3932,-119.7301,34,2013,5,0.581,0.2,0,2013-11-05,36
"12","C1008",10,16.445,33.1,8.066,NA,2235.8,NA,NA,NA,NA,NA,NA,NA,0.931848001801914,5059.69863731656,36800,471,20,0.134153116552251,0.0415295072089954,0.599,0.0169617632,11,557.943255903644,67.1936659179238,79,34.465,-120.1196,34,2013,6,-0.07,-0.023,0,2013-11-06,36
